
Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:03:23 2019
Timers Off: Mon Sep  9 16:17:59 2019

Wall Time:      875.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          :    180.417u      1.100s     27.255w     38 calls
JK: D                               :      0.083u      0.000s      0.010w     38 calls
JK: USO2AO                          :      0.083u      0.017s      0.011w     38 calls
JK: JK                              :    179.900u      1.083s     27.212w     38 calls
JK: J                               :     12.133u      0.083s      1.845w     38 calls
JK: J1                              :      5.967u      0.050s      0.904w     38 calls
JK: J2                              :      5.967u      0.017s      0.896w     38 calls
JK: K                               :    164.167u      0.017s     24.669w     38 calls
JK: K1                              :    146.500u      0.017s     22.019w     38 calls
JK: K2                              :     17.533u      0.000s      2.644w     38 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.017u      0.000s      0.011w     38 calls
HF: Form D                          :      0.033u      0.000s      0.011w     38 calls
HF: DIIS                            :      3.883u      0.383s      0.650w     35 calls
DIISManager::add_entry              :      0.400u      0.117s      0.090w     35 calls
DIISManager::extrapolate            :      1.050u      0.250s      0.210w     35 calls
bMatrix setup                       :      0.550u      0.150s      0.105w     35 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     35 calls
New vector                          :      0.483u      0.100s      0.102w     35 calls
HF: Form C                          :     13.750u      0.150s      2.066w     35 calls
DF Integrals                        :    308.550u     21.700s     55.238w      1 calls
Omega Integrals                     :      3.117u      2.083s      1.591w      1 calls
Amplitudes                          :    634.050u     18.567s    103.197w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.004w      1 calls
Ind20,r                             :     46.650u      1.317s      7.204w      1 calls
Exch-Ind20,r                        :      1.200u      0.217s      0.211w      1 calls
Disp20                              :      3.083u      0.167s      0.489w      1 calls
Exch-Disp20                         :     40.783u      0.883s      6.288w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.096w      1 calls
Exch12                              :    273.583u     10.067s     45.919w      1 calls
Ind22                               :     35.400u      6.817s      8.756w      1 calls
Disp21                              :      1.633u      0.383s      0.303w      1 calls
Disp22 (SDQ)                        :     72.167u      4.100s     12.278w      1 calls
Disp22 (T)                          :   3473.483u     22.983s    526.729w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     21.500u      0.000s      3.229w      1 calls
JK: (A|Q)^-1/2                      :      2.700u      0.033s      0.411w      1 calls
JK: (Q|mn)                          :     11.900u      0.033s      1.791w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.100w      3 calls
HF: Form S/X                        :      1.150u      0.033s      0.178w      3 calls
HF: Guess                           :     13.533u      0.383s      2.090w      3 calls
| SAD Guess                         :     13.300u      0.350s      2.054w      3 calls
HF: Form G                          :    180.417u      1.100s     27.255w     38 calls
| JK: D                             :      0.083u      0.000s      0.010w     38 calls
| JK: USO2AO                        :      0.083u      0.017s      0.011w     38 calls
| JK: JK                            :    179.900u      1.083s     27.212w     38 calls
| | JK: J                           :     12.133u      0.083s      1.845w     38 calls
| | | JK: J1                        :      5.967u      0.050s      0.904w     38 calls
