
Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:03:23 2019
Timers Off: Mon Sep  9 16:17:59 2019

Wall Time:      875.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :      0.067u      0.000s      0.009w     38 calls
HF: DIIS                            :      3.067u      0.300s      0.518w     35 calls
| DIISManager::add_entry            :      0.317u      0.017s      0.078w     35 calls
| DIISManager::extrapolate          :      0.950u      0.283s      0.174w     35 calls
| | bMatrix setup                   :      0.450u      0.200s      0.086w     35 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.003w     35 calls
| | New vector                      :      0.450u      0.083s      0.085w     35 calls
HF: Form C                          :      9.900u      0.133s      1.505w     35 calls
DF Integrals                        :    221.583u     15.583s     39.751w      1 calls
Omega Integrals                     :      2.783u      1.383s      1.086w      1 calls
Amplitudes                          :    379.067u     11.517s     61.748w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.017s      0.004w      1 calls
Ind20,r                             :     37.083u      1.067s      5.732w      1 calls
Exch-Ind20,r                        :      1.017u      0.133s      0.173w      1 calls
Disp20                              :      2.350u      0.133s      0.375w      1 calls
Exch-Disp20                         :     30.383u      0.483s      4.643w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.467u      0.067s      0.081w      1 calls
Exch12                              :    196.683u      7.350s     32.640w      1 calls
Ind22                               :     28.583u      4.967s      6.417w      1 calls
Disp21                              :      1.317u      0.317s      0.248w      1 calls
Disp22 (SDQ)                        :     55.550u      3.133s      9.290w      1 calls
Disp22 (T)                          :   2097.217u     11.467s    316.832w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 18:22:19 2019
Timers Off: Mon Sep  9 18:31:19 2019

Wall Time:      539.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     16.200u      0.000s      2.434w      1 calls
JK: (A|Q)^-1/2                      :      2.250u      0.050s      0.347w      1 calls
JK: (Q|mn)                          :      7.600u      0.017s      1.144w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.088w      3 calls
HF: Form S/X                        :      0.833u      0.033s      0.147w      3 calls
HF: Guess                           :     13.667u      0.450s      2.166w      3 calls
SAD Guess                           :     13.450u      0.450s      2.130w      3 calls
HF: Form G                          :    114.250u      0.717s     17.275w     38 calls
JK: D                               :      0.050u      0.000s      0.009w     38 calls
JK: USO2AO                          :      0.050u      0.017s      0.009w     38 calls
JK: JK                              :    114.050u      0.700s     17.238w     38 calls
JK: J                               :      8.017u      0.017s      1.205w     38 calls
JK: J1                              :      3.950u      0.000s      0.601w     38 calls
JK: J2                              :      3.767u      0.000s      0.567w     38 calls
JK: K                               :    103.350u      0.017s     15.532w     38 calls
JK: K1                              :     90.183u      0.000s     13.552w     38 calls
JK: K2                              :     13.083u      0.017s      1.975w     38 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.067u      0.000s      0.009w     38 calls
HF: Form D                          :      0.067u      0.000s      0.009w     38 calls
HF: DIIS                            :      3.133u      0.300s      0.521w     35 calls
DIISManager::add_entry              :      0.450u      0.133s      0.078w     35 calls
DIISManager::extrapolate            :      0.900u      0.167s      0.174w     35 calls
bMatrix setup                       :      0.400u      0.100s      0.084w     35 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.003w     35 calls
New vector                          :      0.433u      0.067s      0.087w     35 calls
HF: Form C                          :     10.233u      0.167s      1.552w     35 calls
DF Integrals                        :    222.817u     18.417s     79.520w      1 calls
Omega Integrals                     :      2.683u      1.367s      1.060w      1 calls
Amplitudes                          :    376.900u     11.883s     61.392w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.017s      0.004w      1 calls
Ind20,r                             :     36.667u      0.933s      5.648w      1 calls
Exch-Ind20,r                        :      1.483u      0.133s      0.278w      1 calls
Disp20                              :      2.283u      0.133s      0.363w      1 calls
Exch-Disp20                         :     30.433u      0.483s      4.644w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.417u      0.050s      0.072w      1 calls
Exch12                              :    197.333u      7.833s     32.824w      1 calls
Ind22                               :     29.717u      5.150s      6.678w      1 calls
Disp21                              :      1.383u      0.350s      0.259w      1 calls
Disp22 (SDQ)                        :     54.550u      3.367s      9.203w      1 calls
Disp22 (T)                          :   2013.450u     10.050s    304.026w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     16.200u      0.000s      2.434w      1 calls
JK: (A|Q)^-1/2                      :      2.250u      0.050s      0.347w      1 calls
JK: (Q|mn)                          :      7.600u      0.017s      1.144w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.088w      3 calls
HF: Form S/X                        :      0.833u      0.033s      0.147w      3 calls
HF: Guess                           :     13.667u      0.450s      2.166w      3 calls
| SAD Guess                         :     13.450u      0.450s      2.130w      3 calls
HF: Form G                          :    114.250u      0.717s     17.275w     38 calls
| JK: D                             :      0.050u      0.000s      0.009w     38 calls
| JK: USO2AO                        :      0.050u      0.017s      0.009w     38 calls
| JK: JK                            :    114.050u      0.700s     17.238w     38 calls
| | JK: J                           :      8.017u      0.017s      1.205w     38 calls
| | | JK: J1                        :      3.950u      0.000s      0.601w     38 calls
| | | JK: J2                        :      3.767u      0.000s      0.567w     38 calls
| | JK: K                           :    103.350u      0.017s     15.532w     38 calls
| | | JK: K1                        :     90.183u      0.000s     13.552w     38 calls
| | | JK: K2                        :     13.083u      0.017s      1.975w     38 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.067u      0.000s      0.009w     38 calls
HF: Form D                          :      0.067u      0.000s      0.009w     38 calls
HF: DIIS                            :      3.133u      0.300s      0.521w     35 calls
| DIISManager::add_entry            :      0.450u      0.133s      0.078w     35 calls
| DIISManager::extrapolate          :      0.900u      0.167s      0.174w     35 calls
| | bMatrix setup                   :      0.400u      0.100s      0.084w     35 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.003w     35 calls
| | New vector                      :      0.433u      0.067s      0.087w     35 calls
HF: Form C                          :     10.233u      0.167s      1.552w     35 calls
DF Integrals                        :    222.817u     18.417s     79.520w      1 calls
Omega Integrals                     :      2.683u      1.367s      1.060w      1 calls
Amplitudes                          :    376.900u     11.883s     61.392w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.017s      0.004w      1 calls
Ind20,r                             :     36.667u      0.933s      5.648w      1 calls
Exch-Ind20,r                        :      1.483u      0.133s      0.278w      1 calls
Disp20                              :      2.283u      0.133s      0.363w      1 calls
Exch-Disp20                         :     30.433u      0.483s      4.644w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.417u      0.050s      0.072w      1 calls
Exch12                              :    197.333u      7.833s     32.824w      1 calls
Ind22                               :     29.717u      5.150s      6.678w      1 calls
Disp21                              :      1.383u      0.350s      0.259w      1 calls
Disp22 (SDQ)                        :     54.550u      3.367s      9.203w      1 calls
Disp22 (T)                          :   2013.450u     10.050s    304.026w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 18:31:50 2019
Timers Off: Mon Sep  9 18:40:09 2019

Wall Time:      498.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     16.250u      0.000s      2.442w      1 calls
JK: (A|Q)^-1/2                      :      2.217u      0.050s      0.341w      1 calls
JK: (Q|mn)                          :      7.883u      0.017s      1.188w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.105w      3 calls
HF: Form S/X                        :      0.850u      0.017s      0.133w      3 calls
HF: Guess                           :     13.817u      0.417s      2.136w      3 calls
SAD Guess                           :     13.567u      0.400s      2.099w      3 calls
HF: Form G                          :    110.483u      0.833s     16.721w     38 calls
JK: D                               :      0.083u      0.000s      0.009w     38 calls
JK: USO2AO                          :      0.033u      0.017s      0.009w     38 calls
JK: JK                              :    110.233u      0.817s     16.682w     38 calls
JK: J                               :      8.283u      0.050s      1.253w     38 calls
JK: J1                              :      4.100u      0.033s      0.613w     38 calls
JK: J2                              :      3.950u      0.017s      0.603w     38 calls
JK: K                               :     99.283u      0.067s     14.930w     38 calls
JK: K1                              :     86.433u      0.017s     12.998w     38 calls
JK: K2                              :     12.800u      0.033s      1.928w     38 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.067u      0.000s      0.010w     38 calls
HF: Form D                          :      0.083u      0.000s      0.010w     38 calls
HF: DIIS                            :      3.050u      0.300s      0.515w     35 calls
DIISManager::add_entry              :      0.450u      0.100s      0.080w     35 calls
DIISManager::extrapolate            :      0.917u      0.183s      0.170w     35 calls
bMatrix setup                       :      0.450u      0.117s      0.083w     35 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     35 calls
New vector                          :      0.433u      0.067s      0.084w     35 calls
HF: Form C                          :     10.117u      0.133s      1.534w     35 calls
DF Integrals                        :    224.083u     15.017s     39.859w      1 calls
Omega Integrals                     :      2.833u      1.400s      1.087w      1 calls
Amplitudes                          :    370.283u     13.450s     60.589w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     37.950u      1.033s      5.853w      1 calls
Exch-Ind20,r                        :      0.933u      0.100s      0.156w      1 calls
Disp20                              :      2.317u      0.133s      0.369w      1 calls
Exch-Disp20                         :     30.483u      0.467s      4.649w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.450u      0.083s      0.079w      1 calls
Exch12                              :    198.517u      7.883s     33.036w      1 calls
Ind22                               :     29.167u      4.933s      6.463w      1 calls
Disp21                              :      1.367u      0.367s      0.258w      1 calls
Disp22 (SDQ)                        :     55.017u      3.133s      9.225w      1 calls
Disp22 (T)                          :   2007.033u     11.883s    303.315w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     16.250u      0.000s      2.442w      1 calls
JK: (A|Q)^-1/2                      :      2.217u      0.050s      0.341w      1 calls
JK: (Q|mn)                          :      7.883u      0.017s      1.188w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.105w      3 calls
HF: Form S/X                        :      0.850u      0.017s      0.133w      3 calls
HF: Guess                           :     13.817u      0.417s      2.136w      3 calls
| SAD Guess                         :     13.567u      0.400s      2.099w      3 calls
HF: Form G                          :    110.483u      0.833s     16.721w     38 calls
| JK: D                             :      0.083u      0.000s      0.009w     38 calls
| JK: USO2AO                        :      0.033u      0.017s      0.009w     38 calls
| JK: JK                            :    110.233u      0.817s     16.682w     38 calls
| | JK: J                           :      8.283u      0.050s      1.253w     38 calls
| | | JK: J1                        :      4.100u      0.033s      0.613w     38 calls
| | | JK: J2                        :      3.950u      0.017s      0.603w     38 calls
| | JK: K                           :     99.283u      0.067s     14.930w     38 calls
| | | JK: K1                        :     86.433u      0.017s     12.998w     38 calls
| | | JK: K2                        :     12.800u      0.033s      1.928w     38 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.067u      0.000s      0.010w     38 calls
HF: Form D                          :      0.083u      0.000s      0.010w     38 calls
HF: DIIS                            :      3.050u      0.300s      0.515w     35 calls
| DIISManager::add_entry            :      0.450u      0.100s      0.080w     35 calls
| DIISManager::extrapolate          :      0.917u      0.183s      0.170w     35 calls
| | bMatrix setup                   :      0.450u      0.117s      0.083w     35 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     35 calls
| | New vector                      :      0.433u      0.067s      0.084w     35 calls
HF: Form C                          :     10.117u      0.133s      1.534w     35 calls
DF Integrals                        :    224.083u     15.017s     39.859w      1 calls
Omega Integrals                     :      2.833u      1.400s      1.087w      1 calls
Amplitudes                          :    370.283u     13.450s     60.589w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     37.950u      1.033s      5.853w      1 calls
Exch-Ind20,r                        :      0.933u      0.100s      0.156w      1 calls
Disp20                              :      2.317u      0.133s      0.369w      1 calls
Exch-Disp20                         :     30.483u      0.467s      4.649w      1 calls
Elst12                              :      0.000u      0.000s      0.001w      1 calls
Exch11                              :      0.450u      0.083s      0.079w      1 calls
Exch12                              :    198.517u      7.883s     33.036w      1 calls
Ind22                               :     29.167u      4.933s      6.463w      1 calls
Disp21                              :      1.367u      0.367s      0.258w      1 calls
Disp22 (SDQ)                        :     55.017u      3.133s      9.225w      1 calls
Disp22 (T)                          :   2007.033u     11.883s    303.315w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 18:40:40 2019
Timers Off: Mon Sep  9 18:48:57 2019

Wall Time:      497.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     16.267u      0.000s      2.445w      1 calls
JK: (A|Q)^-1/2                      :      2.300u      0.050s      0.356w      1 calls
JK: (Q|mn)                          :      7.750u      0.017s      1.167w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.109w      3 calls
HF: Form S/X                        :      0.817u      0.033s      0.128w      3 calls
HF: Guess                           :     14.100u      0.367s      2.172w      3 calls
SAD Guess                           :     13.833u      0.350s      2.135w      3 calls
HF: Form G                          :    115.217u      0.767s     17.426w     38 calls
JK: D                               :      0.117u      0.000s      0.009w     38 calls
JK: USO2AO                          :      0.100u      0.000s      0.010w     38 calls
JK: JK                              :    114.883u      0.767s     17.387w     38 calls
JK: J                               :      8.467u      0.050s      1.284w     38 calls
JK: J1                              :      3.983u      0.017s      0.602w     38 calls
JK: J2                              :      4.167u      0.017s      0.640w     38 calls
JK: K                               :    103.550u      0.050s     15.574w     38 calls
JK: K1                              :     90.283u      0.017s     13.595w     38 calls
JK: K2                              :     13.183u      0.017s      1.974w     38 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.050u      0.000s      0.010w     38 calls
HF: Form D                          :      0.050u      0.000s      0.010w     38 calls
HF: DIIS                            :      3.183u      0.250s      0.527w     35 calls
DIISManager::add_entry              :      0.433u      0.050s      0.080w     35 calls
DIISManager::extrapolate            :      0.950u      0.200s      0.177w     35 calls
bMatrix setup                       :      0.433u      0.133s      0.087w     35 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.003w     35 calls
New vector                          :      0.450u      0.067s      0.087w     35 calls
HF: Form C                          :     10.550u      0.150s      1.598w     35 calls
DF Integrals                        :    221.350u     16.083s     40.893w      1 calls
Omega Integrals                     :      2.867u      1.600s      1.234w      1 calls
Amplitudes                          :    366.183u     11.817s     61.195w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.003w      1 calls
Ind20,r                             :     37.450u      1.050s      5.785w      1 calls
Exch-Ind20,r                        :      0.817u      0.117s      0.139w      1 calls
Disp20                              :      2.300u      0.117s      0.365w      1 calls
Exch-Disp20                         :     30.600u      0.483s      4.676w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.467u      0.067s      0.080w      1 calls
Exch12                              :    196.900u      7.533s     32.626w      1 calls
Ind22                               :     28.533u      4.917s      6.440w      1 calls
Disp21                              :      1.350u      0.333s      0.253w      1 calls
Disp22 (SDQ)                        :     54.950u      3.267s      9.237w      1 calls
Disp22 (T)                          :   1986.433u     13.083s    300.433w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     16.267u      0.000s      2.445w      1 calls
JK: (A|Q)^-1/2                      :      2.300u      0.050s      0.356w      1 calls
JK: (Q|mn)                          :      7.750u      0.017s      1.167w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.109w      3 calls
HF: Form S/X                        :      0.817u      0.033s      0.128w      3 calls
HF: Guess                           :     14.100u      0.367s      2.172w      3 calls
| SAD Guess                         :     13.833u      0.350s      2.135w      3 calls
HF: Form G                          :    115.217u      0.767s     17.426w     38 calls
| JK: D                             :      0.117u      0.000s      0.009w     38 calls
| JK: USO2AO                        :      0.100u      0.000s      0.010w     38 calls
| JK: JK                            :    114.883u      0.767s     17.387w     38 calls
| | JK: J                           :      8.467u      0.050s      1.284w     38 calls
| | | JK: J1                        :      3.983u      0.017s      0.602w     38 calls
| | | JK: J2                        :      4.167u      0.017s      0.640w     38 calls
| | JK: K                           :    103.550u      0.050s     15.574w     38 calls
| | | JK: K1                        :     90.283u      0.017s     13.595w     38 calls
| | | JK: K2                        :     13.183u      0.017s      1.974w     38 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     38 calls
HF: Form F                          :      0.050u      0.000s      0.010w     38 calls
HF: Form D                          :      0.050u      0.000s      0.010w     38 calls
HF: DIIS                            :      3.183u      0.250s      0.527w     35 calls
| DIISManager::add_entry            :      0.433u      0.050s      0.080w     35 calls
| DIISManager::extrapolate          :      0.950u      0.200s      0.177w     35 calls
| | bMatrix setup                   :      0.433u      0.133s      0.087w     35 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.003w     35 calls
| | New vector                      :      0.450u      0.067s      0.087w     35 calls
HF: Form C                          :     10.550u      0.150s      1.598w     35 calls
DF Integrals                        :    221.350u     16.083s     40.893w      1 calls
Omega Integrals                     :      2.867u      1.600s      1.234w      1 calls
Amplitudes                          :    366.183u     11.817s     61.195w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.003w      1 calls
Ind20,r                             :     37.450u      1.050s      5.785w      1 calls
Exch-Ind20,r                        :      0.817u      0.117s      0.139w      1 calls
Disp20                              :      2.300u      0.117s      0.365w      1 calls
Exch-Disp20                         :     30.600u      0.483s      4.676w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.467u      0.067s      0.080w      1 calls
Exch12                              :    196.900u      7.533s     32.626w      1 calls
Ind22                               :     28.533u      4.917s      6.440w      1 calls
Disp21                              :      1.350u      0.333s      0.253w      1 calls
Disp22 (SDQ)                        :     54.950u      3.267s      9.237w      1 calls
Disp22 (T)                          :   1986.433u     13.083s    300.433w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 18:49:28 2019
Timers Off: Mon Sep  9 18:58:20 2019

Wall Time:      531.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     14.217u      0.000s      2.135w      1 calls
JK: (A|Q)^-1/2                      :      1.867u      0.050s      0.290w      1 calls
JK: (Q|mn)                          :      6.417u      0.017s      0.967w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.089w      3 calls
HF: Form S/X                        :      0.733u      0.033s      0.112w      3 calls
HF: Guess                           :     11.300u      0.333s      1.749w      3 calls
SAD Guess                           :     11.050u      0.333s      1.712w      3 calls
HF: Form G                          :     84.700u      0.667s     12.811w     37 calls
JK: D                               :      0.017u      0.000s      0.008w     37 calls
JK: USO2AO                          :      0.117u      0.000s      0.008w     37 calls
JK: JK                              :     84.383u      0.667s     12.777w     37 calls
JK: J                               :      7.033u      0.017s      1.058w     37 calls
JK: J1                              :      3.500u      0.000s      0.523w     37 calls
JK: J2                              :      3.367u      0.017s      0.513w     37 calls
JK: K                               :     75.183u      0.000s     11.291w     37 calls
JK: K1                              :     64.917u      0.000s      9.760w     37 calls
JK: K2                              :     10.183u      0.000s      1.527w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.009w     37 calls
HF: Form D                          :      0.050u      0.000s      0.008w     37 calls
HF: DIIS                            :      2.617u      0.183s      0.425w     34 calls
DIISManager::add_entry              :      0.333u      0.067s      0.067w     34 calls
DIISManager::extrapolate            :      0.900u      0.117s      0.148w     34 calls
bMatrix setup                       :      0.400u      0.083s      0.072w     34 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     34 calls
New vector                          :      0.467u      0.033s      0.073w     34 calls
HF: Form C                          :      7.800u      0.117s      1.195w     34 calls
DF Integrals                        :    184.117u     14.533s     34.160w      1 calls
Omega Integrals                     :      2.550u      1.117s      0.886w      1 calls
Amplitudes                          :    396.650u     10.333s     65.136w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     29.067u      0.783s      4.482w      1 calls
Exch-Ind20,r                        :      0.700u      0.083s      0.120w      1 calls
Disp20                              :      2.067u      0.133s      0.329w      1 calls
Exch-Disp20                         :     25.900u      0.417s      3.954w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.400u      0.067s      0.070w      1 calls
Exch12                              :    163.217u      6.267s     26.988w      1 calls
Ind22                               :     24.917u      4.333s      5.523w      1 calls
Disp21                              :      1.183u      0.300s      0.222w      1 calls
Disp22 (SDQ)                        :     46.650u      2.833s      7.814w      1 calls
Disp22 (T)                          :   2347.483u     14.667s    354.933w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     14.217u      0.000s      2.135w      1 calls
JK: (A|Q)^-1/2                      :      1.867u      0.050s      0.290w      1 calls
JK: (Q|mn)                          :      6.417u      0.017s      0.967w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.089w      3 calls
HF: Form S/X                        :      0.733u      0.033s      0.112w      3 calls
HF: Guess                           :     11.300u      0.333s      1.749w      3 calls
| SAD Guess                         :     11.050u      0.333s      1.712w      3 calls
HF: Form G                          :     84.700u      0.667s     12.811w     37 calls
| JK: D                             :      0.017u      0.000s      0.008w     37 calls
| JK: USO2AO                        :      0.117u      0.000s      0.008w     37 calls
| JK: JK                            :     84.383u      0.667s     12.777w     37 calls
| | JK: J                           :      7.033u      0.017s      1.058w     37 calls
| | | JK: J1                        :      3.500u      0.000s      0.523w     37 calls
| | | JK: J2                        :      3.367u      0.017s      0.513w     37 calls
| | JK: K                           :     75.183u      0.000s     11.291w     37 calls
| | | JK: K1                        :     64.917u      0.000s      9.760w     37 calls
| | | JK: K2                        :     10.183u      0.000s      1.527w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.009w     37 calls
HF: Form D                          :      0.050u      0.000s      0.008w     37 calls
HF: DIIS                            :      2.617u      0.183s      0.425w     34 calls
| DIISManager::add_entry            :      0.333u      0.067s      0.067w     34 calls
| DIISManager::extrapolate          :      0.900u      0.117s      0.148w     34 calls
| | bMatrix setup                   :      0.400u      0.083s      0.072w     34 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.003w     34 calls
| | New vector                      :      0.467u      0.033s      0.073w     34 calls
HF: Form C                          :      7.800u      0.117s      1.195w     34 calls
DF Integrals                        :    184.117u     14.533s     34.160w      1 calls
Omega Integrals                     :      2.550u      1.117s      0.886w      1 calls
Amplitudes                          :    396.650u     10.333s     65.136w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.004w      1 calls
Ind20,r                             :     29.067u      0.783s      4.482w      1 calls
Exch-Ind20,r                        :      0.700u      0.083s      0.120w      1 calls
Disp20                              :      2.067u      0.133s      0.329w      1 calls
Exch-Disp20                         :     25.900u      0.417s      3.954w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.400u      0.067s      0.070w      1 calls
Exch12                              :    163.217u      6.267s     26.988w      1 calls
Ind22                               :     24.917u      4.333s      5.523w      1 calls
Disp21                              :      1.183u      0.300s      0.222w      1 calls
Disp22 (SDQ)                        :     46.650u      2.833s      7.814w      1 calls
Disp22 (T)                          :   2347.483u     14.667s    354.933w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 18:58:51 2019
Timers Off: Mon Sep  9 19:06:40 2019

Wall Time:      468.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     14.117u      0.000s      2.121w      1 calls
JK: (A|Q)^-1/2                      :      1.917u      0.067s      0.298w      1 calls
JK: (Q|mn)                          :      6.250u      0.017s      0.942w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.070w      3 calls
HF: Form S/X                        :      0.700u      0.017s      0.111w      3 calls
HF: Guess                           :     11.150u      0.400s      1.732w      3 calls
SAD Guess                           :     10.883u      0.383s      1.695w      3 calls
HF: Form G                          :     86.900u      0.583s     13.144w     37 calls
JK: D                               :      0.033u      0.000s      0.008w     37 calls
JK: USO2AO                          :      0.050u      0.000s      0.008w     37 calls
JK: JK                              :     86.633u      0.583s     13.111w     37 calls
JK: J                               :      6.900u      0.050s      1.043w     37 calls
JK: J1                              :      3.333u      0.050s      0.502w     37 calls
JK: J2                              :      3.383u      0.000s      0.518w     37 calls
JK: K                               :     77.467u      0.033s     11.635w     37 calls
JK: K1                              :     67.083u      0.000s     10.080w     37 calls
JK: K2                              :     10.300u      0.017s      1.551w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.050u      0.000s      0.009w     37 calls
HF: Form D                          :      0.050u      0.017s      0.008w     37 calls
HF: DIIS                            :      2.567u      0.283s      0.426w     34 calls
DIISManager::add_entry              :      0.383u      0.083s      0.065w     34 calls
DIISManager::extrapolate            :      0.850u      0.200s      0.149w     34 calls
bMatrix setup                       :      0.400u      0.100s      0.073w     34 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     34 calls
New vector                          :      0.433u      0.100s      0.073w     34 calls
HF: Form C                          :      8.133u      0.133s      1.234w     34 calls
DF Integrals                        :    184.117u     13.200s     33.028w      1 calls
Omega Integrals                     :      2.633u      1.117s      0.907w      1 calls
Amplitudes                          :    345.883u     10.517s     55.933w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.002w      1 calls
Exch10                              :      0.017u      0.000s      0.003w      1 calls
Ind20,r                             :     28.600u      0.683s      4.399w      1 calls
Exch-Ind20,r                        :      0.750u      0.100s      0.125w      1 calls
Disp20                              :      2.000u      0.100s      0.320w      1 calls
Exch-Disp20                         :     25.383u      0.433s      3.876w      1 calls
Elst12                              :      0.017u      0.000s      0.001w      1 calls
Exch11                              :      0.367u      0.050s      0.064w      1 calls
Exch12                              :    161.317u      6.367s     26.676w      1 calls
Ind22                               :     24.467u      4.400s      5.415w      1 calls
Disp21                              :      1.133u      0.283s      0.214w      1 calls
Disp22 (SDQ)                        :     46.350u      2.950s      7.831w      1 calls
Disp22 (T)                          :   1999.783u     11.567s    302.185w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     14.117u      0.000s      2.121w      1 calls
JK: (A|Q)^-1/2                      :      1.917u      0.067s      0.298w      1 calls
JK: (Q|mn)                          :      6.250u      0.017s      0.942w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.070w      3 calls
HF: Form S/X                        :      0.700u      0.017s      0.111w      3 calls
HF: Guess                           :     11.150u      0.400s      1.732w      3 calls
| SAD Guess                         :     10.883u      0.383s      1.695w      3 calls
